05:58:31.186639 PRAGUEINFO flow>4 window>0.102 samples>55 state>cong_avoid rtt_avg_us>31650 rtt_min_us>31503 rtt_max_us>31959 cwnd>78 cwnd_min>76 cwnd_max>78 rate_avg_kbps>26255.053 rate_min_kbps>25900.920 rate_max_kbps>26674.504 alpha_avg>0.021966 alpha_min>0.019544 alpha_max>0.023718 inflight>17 sent>53 lost>0 total_lost>0
05:58:31.288355 PRAGUEINFO flow>4 window>0.102 samples>55 state>cong_avoid rtt_avg_us>31547 rtt_min_us>31372 rtt_max_us>32259 cwnd>80 cwnd_min>78 cwnd_max>80 rate_avg_kbps>26936.436 rate_min_kbps>26621.544 rate_max_kbps>27135.416 alpha_avg>0.017976 alpha_min>0.016106 alpha_max>0.019544 inflight>17 sent>53 lost>0 total_lost>0
05:58:31.390062 PRAGUEINFO flow>4 window>0.102 samples>55 state>cong_avoid rtt_avg_us>31686 rtt_min_us>31436 rtt_max_us>32151 cwnd>81 cwnd_min>80 cwnd_max>81 rate_avg_kbps>27410.628 rate_min_kbps>26721.760 rate_max_kbps>27902.376 alpha_avg>0.014743 alpha_min>0.013272 alpha_max>0.016106 inflight>17 sent>53 lost>0 total_lost>0
05:58:31.491784 PRAGUEINFO flow>4 window>0.102 samples>55 state>cong_avoid rtt_avg_us>31679 rtt_min_us>31476 rtt_max_us>31966 cwnd>83 cwnd_min>81 cwnd_max>83 rate_avg_kbps>28006.330 rate_min_kbps>27803.744 rate_max_kbps>28404.936 alpha_avg>0.012066 alpha_min>0.010938 alpha_max>0.013272 inflight>17 sent>53 lost>0 total_lost>0
05:58:31.593473 PRAGUEINFO flow>4 window>0.102 samples>55 state>cong_avoid rtt_avg_us>31737 rtt_min_us>31564 rtt_max_us>31917 cwnd>83 cwnd_min>83 cwnd_max>83 rate_avg_kbps>28238.422 rate_min_kbps>28028.160 rate_max_kbps>28496.536 alpha_avg>0.012843 alpha_min>0.010938 alpha_max>0.013930 inflight>17 sent>53 lost>0 total_lost>0
05:58:31.695179 PRAGUEINFO flow>4 window>0.102 samples>55 state>cong_avoid rtt_avg_us>31693 rtt_min_us>31444 rtt_max_us>32218 cwnd>84 cwnd_min>83 cwnd_max>84 rate_avg_kbps>28501.219 rate_min_kbps>28098.368 rate_max_kbps>28693.328 alpha_avg>0.010988 alpha_min>0.010091 alpha_max>0.012245 inflight>19 sent>53 lost>0 total_lost>0
05:58:31.796891 PRAGUEINFO flow>4 window>0.102 samples>55 state>cong_avoid rtt_avg_us>31976 rtt_min_us>31493 rtt_max_us>32672 cwnd>85 cwnd_min>84 cwnd_max>85 rate_avg_kbps>28545.907 rate_min_kbps>27786.728 rate_max_kbps>29053.520 alpha_avg>0.009012 alpha_min>0.008315 alpha_max>0.010091 inflight>17 sent>53 lost>0 total_lost>0
05:58:31.898596 PRAGUEINFO flow>4 window>0.102 samples>55 state>in_cwr rtt_avg_us>32261 rtt_min_us>31494 rtt_max_us>33588 cwnd>83 cwnd_min>83 cwnd_max>85 rate_avg_kbps>28300.014 rate_min_kbps>27349.680 rate_max_kbps>28954.240 alpha_avg>0.017978 alpha_min>0.008315 alpha_max>0.027621 inflight>17 sent>53 lost>0 total_lost>0
05:58:32.000299 PRAGUEINFO flow>4 window>0.102 samples>55 state>cong_avoid rtt_avg_us>31636 rtt_min_us>31482 rtt_max_us>31833 cwnd>84 cwnd_min>83 cwnd_max>84 rate_avg_kbps>28643.256 rate_min_kbps>28447.160 rate_max_kbps>28874.328 alpha_avg>0.034367 alpha_min>0.027621 alpha_max>0.036923 inflight>18 sent>53 lost>0 total_lost>0
05:58:32.102015 PRAGUEINFO flow>4 window>0.102 samples>55 state>cong_avoid rtt_avg_us>31578 rtt_min_us>31376 rtt_max_us>31779 cwnd>85 cwnd_min>84 cwnd_max>85 rate_avg_kbps>28927.930 rate_min_kbps>28698.656 rate_max_kbps>29199.192 alpha_avg>0.028507 alpha_min>0.025071 alpha_max>0.032454 inflight>17 sent>53 lost>0 total_lost>0
05:58:32.203736 PRAGUEINFO flow>4 window>0.102 samples>55 state>cong_avoid rtt_avg_us>31542 rtt_min_us>31386 rtt_max_us>31916 cwnd>86 cwnd_min>85 cwnd_max>86 rate_avg_kbps>29283.745 rate_min_kbps>29055.048 rate_max_kbps>29608.200 alpha_avg>0.023299 alpha_min>0.020658 alpha_max>0.025071 inflight>17 sent>53 lost>0 total_lost>0
05:58:32.305410 PRAGUEINFO flow>4 window>0.102 samples>55 state>cong_avoid rtt_avg_us>31441 rtt_min_us>31337 rtt_max_us>31624 cwnd>88 cwnd_min>86 cwnd_max>88 rate_avg_kbps>29960.878 rate_min_kbps>29513.576 rate_max_kbps>30351.840 alpha_avg>0.019067 alpha_min>0.017023 alpha_max>0.020658 inflight>18 sent>53 lost>0 total_lost>0
05:58:32.407135 PRAGUEINFO flow>4 window>0.102 samples>55 state>cong_avoid rtt_avg_us>31530 rtt_min_us>31329 rtt_max_us>31880 cwnd>90 cwnd_min>88 cwnd_max>90 rate_avg_kbps>30474.435 rate_min_kbps>30119.832 rate_max_kbps>30763.184 alpha_avg>0.015603 alpha_min>0.014029 alpha_max>0.017023 inflight>17 sent>53 lost>0 total_lost>0
05:58:32.508839 PRAGUEINFO flow>4 window>0.102 samples>55 state>cong_avoid rtt_avg_us>31429 rtt_min_us>31293 rtt_max_us>31660 cwnd>91 cwnd_min>90 cwnd_max>91 rate_avg_kbps>31171.276 rate_min_kbps>30763.184 rate_max_kbps>31464.824 alpha_avg>0.012768 alpha_min>0.011560 alpha_max>0.014029 inflight>17 sent>53 lost>0 total_lost>0
05:58:32.610532 PRAGUEINFO flow>4 window>0.102 samples>55 state>cong_avoid rtt_avg_us>31453 rtt_min_us>31338 rtt_max_us>31787 cwnd>93 cwnd_min>91 cwnd_max>93 rate_avg_kbps>31747.685 rate_min_kbps>31376.472 rate_max_kbps>32048.808 alpha_avg>0.010448 alpha_min>0.009527 alpha_max>0.011560 inflight>17 sent>53 lost>0 total_lost>0
05:58:32.712237 PRAGUEINFO flow>4 window>0.102 samples>55 state>cong_avoid rtt_avg_us>31474 rtt_min_us>31330 rtt_max_us>31718 cwnd>95 cwnd_min>93 cwnd_max>95 rate_avg_kbps>32325.139 rate_min_kbps>31781.152 rate_max_kbps>32678.320 alpha_avg>0.008550 alpha_min>0.007852 alpha_max>0.009527 inflight>17 sent>53 lost>0 total_lost>0
05:58:32.813939 PRAGUEINFO flow>4 window>0.102 samples>55 state>cong_avoid rtt_avg_us>31384 rtt_min_us>31338 rtt_max_us>31452 cwnd>97 cwnd_min>95 cwnd_max>97 rate_avg_kbps>33019.295 rate_min_kbps>32678.320 rate_max_kbps>33327.672 alpha_avg>0.006996 alpha_min>0.006471 alpha_max>0.007852 inflight>17 sent>53 lost>0 total_lost>0
05:58:32.915661 PRAGUEINFO flow>4 window>0.102 samples>55 state>cong_avoid rtt_avg_us>31378 rtt_min_us>31293 rtt_max_us>31536 cwnd>98 cwnd_min>97 cwnd_max>98 rate_avg_kbps>33627.595 rate_min_kbps>33211.760 rate_max_kbps>33999.592 alpha_avg>0.005718 alpha_min>0.005000 alpha_max>0.006471 inflight>17 sent>53 lost>0 total_lost>0
